date,nc,na,cc,ca
1943,0,0,0,0
1944,0,0,0,0
1945,9.59385993,0,0,0
1946,18.82786614,0,11.40901312,4.578754579
1947,3.596777288,0.2397851525,12.83737548,6.875485219
1948,4.163197336,4.537205082,0,0
1949,0,0,7.686395081,9.195402299
1950,8.602572678,0,0,0
1951,0,0,0,0
1952,24.20986088,0,27.32635547,0
1953,1.201923077,3.326679973,21.90066085,3.612716763
1954,21.40563682,0,7.390983001,0
1955,0,0,0,0
1956,6.949270327,0,0,0
1957,0,0,0.2959586842,0.1479793421
1958,21.2661142,3.816701011,23.64238241,4.145936982
1959,8.58000858,0,0,4.608993731
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,1.519064256
1963,44.44444444,10.89451033,11.95581546,1.01796712
1964,0,0,30.86419753,3.086419753
1965,10.0408349,2.14961307,6.724267807,17.28797999
1966,0,0,2.129925453,0
1967,3.944773176,2.879355024,9.715171593,2.879355024
1968,0,0,2.647603918,0
1969,0,0,0,0
1970,0,0,0,0
1971,7.991475759,0,0,2.663825253
1972,9.11249249,5.115841241,3.585585355,2.055329469
1973,0,0,1.223391241,0
1974,0,0,0,7.57002271
1975,0,6.301197227,3.841721091,24.71854781
1976,15.92060673,12.62626263,0,8.710801394
1977,15.51984413,0,1.533272002,0
1978,0,0,0,0
1979,0.9404304485,0.6717360346,2.418249725,1.880860897
1980,0,0,23.69668246,0
1981,0,0,0,6.618133686
1982,0,1.582278481,0,6.643007226
1983,4.304778304,0,21.4745884,24.62283712
1984,0,5.356186395,0,0
1985,0,0,0,0
1986,0,0,0,0
